pays,code_pays,année,population
Afghanistan,2,2010,28398000
Afghanistan,2,2011,29105000
Afghanistan,2,2012,29825000
Afghanistan,2,2013,30552000
Afrique du Sud,202,2010,51452000
Afrique du Sud,202,2011,51949000
Afrique du Sud,202,2012,52386000
Afrique du Sud,202,2013,52776000
Albanie,3,2010,3150000
Albanie,3,2011,3154000
Albanie,3,2012,3162000
Albanie,3,2013,3173000
Algérie,4,2010,37063000
Algérie,4,2011,37763000
Algérie,4,2012,38482000
Algérie,4,2013,39208000
Allemagne,79,2010,83017000
Allemagne,79,2011,82893000
Allemagne,79,2012,82800000
Allemagne,79,2013,82727000
Angola,7,2010,19549000
Angola,7,2011,20180000
Angola,7,2012,20821000
Angola,7,2013,21472000
Antigua-et-Barbuda,8,2010,87000
Antigua-et-Barbuda,8,2011,88000
Antigua-et-Barbuda,8,2012,89000
Antigua-et-Barbuda,8,2013,90000
Antilles néerlandaises (ex),151,2010,201000
Arabie saoudite,194,2010,27258000
Arabie saoudite,194,2011,27762000
Arabie saoudite,194,2012,28288000
Arabie saoudite,194,2013,28829000
Argentine,9,2010,40374000
Argentine,9,2011,40729000
Argentine,9,2012,41087000
Argentine,9,2013,41446000
Arménie,1,2010,2963000
Arménie,1,2011,2964000
Arménie,1,2012,2969000
Arménie,1,2013,2977000
Australie,10,2010,22404000
Australie,10,2011,22741000
Australie,10,2012,23050000
Australie,10,2013,23343000
Autriche,11,2010,8402000
Autriche,11,2011,8433000
Autriche,11,2012,8464000
Autriche,11,2013,8495000
Azerbaïdjan,52,2010,9095000
Azerbaïdjan,52,2011,9202000
Azerbaïdjan,52,2012,9309000
Azerbaïdjan,52,2013,9413000
Bahamas,12,2010,360000
Bahamas,12,2011,366000
Bahamas,12,2012,372000
Bahamas,12,2013,377000
Bangladesh,16,2010,151125000
Bangladesh,16,2011,152862000
Bangladesh,16,2012,154695000
Bangladesh,16,2013,156595000
Barbade,14,2010,280000
Barbade,14,2011,282000
Barbade,14,2012,283000
Barbade,14,2013,285000
Bélarus,57,2010,9491000
Bélarus,57,2011,9450000
Bélarus,57,2012,9405000
Bélarus,57,2013,9357000
Belgique,255,2010,10941000
Belgique,255,2011,11007000
Belgique,255,2012,11060000
Belgique,255,2013,11104000
Belize,23,2010,309000
Belize,23,2011,316000
Belize,23,2012,324000
Belize,23,2013,332000
Bénin,53,2010,9510000
Bénin,53,2011,9780000
Bénin,53,2012,10051000
Bénin,53,2013,10323000
Bermudes,17,2010,65000
Bermudes,17,2011,65000
Bermudes,17,2012,65000
Bermudes,17,2013,65000
Bolivie (État plurinational de),19,2010,10157000
Bolivie (État plurinational de),19,2011,10324000
Bolivie (État plurinational de),19,2012,10496000
Bolivie (État plurinational de),19,2013,10671000
Bosnie-Herzégovine,80,2010,3846000
Bosnie-Herzégovine,80,2011,3839000
Bosnie-Herzégovine,80,2012,3834000
Bosnie-Herzégovine,80,2013,3829000
Botswana,20,2010,1969000
Botswana,20,2011,1987000
Botswana,20,2012,2004000
Botswana,20,2013,2021000
Brésil,21,2010,195210000
